artist_credit,position,artist,name
id-613411,0,id-613411,Kouka
id-1224590,0,id-1049296,Old School Enemy
id-3063502,0,id-2202237,Solution Suicide
id-995360,0,id-396063,Henker
id-2424605,0,id-1822405,Kuji Young
id-651377,0,id-651377,Interaction
id-155503,0,id-155503,Domased
id-957432,0,id-875521,Rhond Durand
id-523434,0,id-523434,Edison Vaudeville Company
id-684074,0,id-684074,Max Power
id-1172253,0,id-1012083,Suntrapp
id-230220,0,id-230220,Delicado
id-143193,0,id-143193,Wytchcraft
id-471993,0,id-471993,Dwoogie
id-239386,0,id-239386,Mysterme  DJ 20/20
id-368357,0,id-368357,Halo of Locusts
id-266939,0,id-266939,Snooker Boy
id-2474571,0,id-1853668,Gopal
id-902331,0,id-848535,Mental Terror
id-1009988,1,id-852377,Alex Perry
id-1009988,0,id-903371,A. Kay B.J.
id-102162,0,id-102162,Elastique Culture
id-3058477,0,id-2199393,DJ Giac
id-922684,0,id-855628,David Carney
id-340003,0,id-340003,The Moog Machine
id-3223705,0,id-2200527,Felo Le Tee
id-3223705,1,id-2291411,Myztro
id-231148,0,id-231148,Dub_Connected
id-772457,0,id-772457,Songs for Moms
id-497982,0,id-497982,Frank FM
id-704586,0,id-704586,演義ノ三乙女
id-1136572,0,id-985191,iNDiG0 HiGH
id-440292,0,id-440292,Kendi
id-729115,0,id-729115,Whisper Room
id-1204312,0,id-1033803,Acacia
id-529390,0,id-529390,The Attractions
id-342441,0,id-342441,Lifting Gear Engineer
id-339364,0,id-339364,With Broken Wings
id-696693,0,id-696693,Fulanos de Tal
id-263493,0,id-263493,Skwatta Kamp
id-1213592,0,id-1040446,A Place for Murder
id-3073786,0,id-2207989,Keri Fraser
id-374081,0,id-374081,Eugenik
id-360503,0,id-360503,苺69
id-3306931,0,id-2026410,Delcada
id-3306931,1,id-2340850,winxxss
id-692277,0,id-692277,Primero Segunda
id-637976,0,id-637976,EnVoL
id-233550,0,id-233550,Paul T
id-155476,0,id-155476,Sub System
id-1037185,0,id-919197,The Paranoids
id-958004,0,id-875913,Chris Crocker
id-97235,0,id-97235,Phuture Assassins
id-237702,0,id-237702,El Fudge
id-505924,0,id-505924,Codec
id-181740,0,id-181740,Dionne
id-456266,0,id-456266,Lindstrøm  Solale
id-230904,0,id-230904,Admiral Crumple
id-2353349,1,id-1767780,Jason Evangelho
id-2353349,0,id-1767779,Joe Ressington
id-820549,0,id-43902,Joey B. Ellis
id-820549,1,id-677719,Tynetta Hare
id-853064,0,id-823883,StroboZone
id-1200945,0,id-1031458,Dune Collective
id-620024,0,id-620024,Fancy Mammals
