artist_credit,name,artist_count,ref_count,created
id-2208926,Saad,1,4,2018-05-02 043209.739402+00
rec-1453706-dup-0,Chasin9 Safety,1,56,2015-03-29 044927.810974+00
id-326501,Duoteque,1,128,2011-05-16 163211.963929+00
id-488775,Elephant Castle,1,42,2011-05-16 163211.963929+00
id-1536228,Mosley Bar,1,49,2015-09-17 090450.133397+00
id-1464119,Bl00dsuck1ng Fr34k vs. N0123,2,2,2015-04-19 164955.993915+00
id-619994,Poly  The Statics,1,14,2011-05-16 163211.963929+00
id-293115,Satisfaction,1,26,2011-05-16 163211.963929+00
id-683685,Zehl Freebass,1,12,2011-05-16 163211.963929+00
id-290139,Ylid,1,72,2011-05-16 163211.963929+00
rec-1182398-dup-0,The GOOD D:rectorate,1,66,2013-06-25 043802.333021+00
id-795022,Ex Wife,1,48,2011-05-16 163211.963929+00
rec-378555-dup-0,A Lijy,1,105,2011-05-16 163211.963929+00
id-728709,Portable Payback,1,4,2011-05-16 163211.963929+00
id-256389,Concombre Zombi,1,34,2011-05-16 163211.963929+00
id-253159,Quasimodo Jones,1,54,2011-05-16 163211.963929+00
id-187453,beauBlack,1,22,2011-05-16 163211.963929+00
id-37251,Niederschlag,1,42,2011-05-16 163211.963929+00
id-522865,Endless Torture,1,16,2011-05-16 163211.963929+00
id-365926,Ma Jana,1,10,2011-05-16 163211.963929+00
id-1482625,Charlie Padfield,1,40,2015-05-27 124439.739699+00
id-272625,Kid Rodriguez,1,28,2011-05-16 163211.963929+00
id-438053,Black Ramps,1,8,2011-05-16 163211.963929+00
rec-738986-dup-0,Dewey Reclman Quartet,1,150,2011-05-16 163211.963929+00
rec-487677-dup-0,All 0f Fifteen,1,32,2011-05-16 163211.963929+00
id-2019325,freq_out,1,12,2017-06-18 165908.315811+00
id-959622,Dagar Brothers,1,4,2012-03-23 025401.695983+00
id-461223,Damnweevil,1,33,2011-05-16 163211.963929+00
id-248813,Ex-Wise Heads,1,199,2011-05-16 163211.963929+00
id-592337,The Big Casino,1,6,2011-05-16 163211.963929+00
id-1349861,Hana,1,5,2014-08-14 092736.264612+00
id-694759,Batphone,1,12,2011-05-16 163211.963929+00
id-2919987,The Wanted,1,65,2021-02-04 222332.967426+00
id-263198,Origami Republika,1,22,2011-05-16 163211.963929+00
id-624198,Lolo Martínez et son orchestre brésilien,1,10,2011-05-16 163211.963929+00
id-647654,4byte Field Commander,1,22,2011-05-16 163211.963929+00
id-712663,Astral Mess,1,18,2011-05-16 163211.963929+00
id-679826,Drake Dehlen,1,8,2011-05-16 163211.963929+00
id-710013,fǣge,1,4,2011-05-16 163211.963929+00
