label,gid,name,label_type,area,ended
187601,a7589fa7f3c54fa6a9cc9349249ab3a5,Yesterdays Gone Records,,,f
170679,69db806c45b94cdcac40960d6d734e49,Four Sixty,,,f
30262,bba4ff5f896f4eeb9c2011257b3ac2c1,Xtra Collection,Imprint,57,f
143694,e448c28b8c8b4ec186d3cc86334ebb8c,Clan Alba Productions,Original Production,3822,f
34782,7d50408920d14de98e38ca9eac6b3175,Edel Classics,,81,f
162658,d4ec35e96c92424c916eb9f036dbaa6b,Anthems of the Undesirable,Original Production,5299,f
233471,c12e1a82f82f4311981d30caf870e92e,Actionpop Records,Original Production,1178,f
201056,e0401ed6172a43e182a08ece3cae0d46,Transistor Revolt,Publisher,222,f
207238,b1593931919f4e92a1a0321f3e630f00,Artist Publishing Global,Publisher,,f
58957,21632a6cde7846d8ad523f801f6209c5,Playwood Productions,,,f
38720,5dc8371cf1ef4b8b9f99c0dbbe12d022,Nightfalls Engineers,,222,f
4762,c88f3a9d38dd49a7a79ec4f8b56af2de,GloSpot,,,f
6262,0f89ef0c000947dcb5cf466c53cb5dec,Happinet,Original Production,107,f
93836,8a9c981060024519bc8b91f6f4cefac5,Few And True Records,Distributor,,t
162659,8222ae4264c9417d8d9ff9399fd835b9,Pulse Drift Recordings,Original Production,,f
164894,681685d07d9942ca8c56f1478a4bc7e1,Bubblewrap,Imprint,96,f
134941,339308668de0406fae79975c8bb554f2,Largo,,,f
55632,a6b3d3ded4834feeacead11db709e6bc,Star Empire Entertainment,Original Production,113,f
143138,9f5cdd5c1ad24a3c8428c2aee7fcc8af,GH Music Ltd,Publisher,,f
242379,817c8aab43fd4065ab53789ce5790cff,End of the Road Records,,,f
113414,3b84a9b1e5e54db495832595bc05407a,BFJ Clothing CO,,,f
156930,1b88dbdbdb764864927e106096951b69,Cronemeyer Edition,Publisher,23698,f
185595,b365c21e40a34a35905b91dbf49cdd04,DAR Ltd,Original Production,221,f
153419,09323b5c15904e2c9947ac6ef50ae064,Del Mar Estudio,,,f
210697,2c38fff7379b4ae79f471275662d6aa1,Daedo Records,,2531,f
41692,d6ead9327f204437951a7414f127ea5f,Rock the House,,222,f
76906,82db147753304ee5b83acbf4b7971f70,Empire Records,,21,f
207646,832646ff45ca41ce90bfe6359fc2371e,Drum Island Records,Original Production,160,f
9061,cd7bc5700306448b9d5462382dea1169,Clean Up Records,Original Production,221,f
178684,937ee11d2f1a42be8c0452b9398b0b9a,Undercontrol,,105,f
151025,431615d10d1f40b589b7bf9943840133,ハッピートーイ,Publisher,107,f
49707,e3a117b333d84d6d955570c35e2f4b18,Della,Original Production,222,f
91841,a1a1a81b1237431b96e58739694a25e6,November Rain Records,,,f
77649,cf7e11aadead4c8abb46a184c50fb40a,Ochiltree Music,,,f
205730,1bee1167e03c4b9691d1170f4e82937b,Lazy Bones Recordings Inc,,,f
187162,cb0ed88d5de347f08845230cf6f4fc07,Isolde Records,,7706,f
70912,903371a4d4574bf3939d5ee12fb01ce7,Teenager In A Box,,,f
208315,199a0ce7007a4ae7be6a28b1b401c2b1,PARKTONE RECORDS,Original Production,397,f
88191,e432cc5b8fbc441dadf3adcbdb5ddb2d,SNA,Manufacturer,41440,f
208544,b44891d4fe0a442787e423642d0a716c,Burn Slow International,,,f
130137,92c8f61b6e894beba9b61f638e698f8f,Blenda Records,,,f
9955,8c671df61d8a41ed83f6ac240f87bab8,Start,Original Production,57,f
70730,639fac39edaf43c7af07935710805846,Eleazar Records,,,f
