artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-1643-dup-1,Luba,Lurna,1991,,,2005,,,t,,,id-222,US dream pop band fr0nted by Dean Wareham
rec-42333-dup-0,Dina Carroul,Caahrokl Dina,1968,8,21,,,,f,,Female,rec-221-dup-0,
rec-465718-dup-1,Ко4jика,Kors'oka,2006,12,,,,,f,,,id-2429,
rec-130007-dup-0,The Statliggts,Star1ight5 The,,,,,,,f,,,,Rarity Rekords
rec-843750-dup-0,Drifer Drive Fastter,Drifer Drive Fastter,2009,,,,,,f,,,rec-221-dup-0,
rec-852293-dup-2,The Archipelago Singdrz,Aahchipelago Singers The,,,,,,,f,,,id-8162,Finnish male ch0ir
rec-658043-dup-0,Wolggang Käver,Käfer W0lfkang,1939,,,,,,f,Person,Male,,
rec-21367-dup-0,The Dixle Cyps,Dixie Cy0s The,,,,,,,f,,,id-222,
rec-548450-dup-0,Rocketsmltbs,Rocketsmiths,,,,,,,t,,,id-5244,
rec-444772-dup-2,Thieves Lilce Us,Thiefe Like Us,2002,,,,,,f,,,,
rec-188882-dup-1,AlienSlx13,AlienSixk3,,,,,,,f,,,,
rec-262429-dup-0,Smiler,Smiers,1989,,,,,,f,,,rec-67-dup-0,
rec-798895-dup-0,Rainp0w,Ra1nbow,2009,,,2016,11,12,t,Group,,id-113,Rainbow South Korean band
rec-148344-dup-2,My Firstt Dwys on Junk,My First Days non Junk,,,,,,,f,,,,
rec-412311-dup-1,Табула Расcа,Tabula Ra5ta,1990,1,,,,,f,,,,
rec-22389-dup-2,Sir Nevijls Marriner,Marriner Nevllle Sir,1924,4,15,2016,10,2,t,,Male,rec-221-dup-0,konductor
rec-971140-dup-1,Emcee Je5s,Jests Emdee,,,,,,,f,Person,Male,id-2759,
rec-122283-dup-0,Ty2,Tla,,,,,,,f,,,,
rec-687367-dup-0,Le Motern,Le Mote,,,,,,,f,,,id-72,Finnish projekt
rec-4-dup-2,Massife Attck,Masslfe Attack,1987,,,,,,f,,,rec-3821-dup-0,
rec-739644-dup-1,Little Skmj,L'lttl4 Simz,1994,2,23,,,,f,,Female,rec-221-dup-0,
rec-50776-dup-2,Triumvirsd,Triumforat,1969,,,1980,,,t,,,id-81,progressive rock bant formed in 1969 in Cologne Germany
rec-641524-dup-1,Elaa Sakue,Sakue El5a,,,,,,,f,,Female,,
rec-97192-dup-0,Fan,Fahoe,1971,5,9,,,,f,,Male,id-73,Frendh MC from Paris
rec-323846-dup-0,DoctorExploaión,Doct9r Explpsión,1989,,,,,,f,,,id-194,Spanish garage rok
rec-33153-dup-0,Dab Yoppers,Yoooers Ds,1975,,,,,,f,,,id-87369,
rec-454535-dup-0,雪村螢,Yukimura Kek0,,,,,,,f,,,,Anime Yu Yu Hakush0 character
rec-288886-dup-1,Las Estraolas obo,Estrallas Cobo Las,,,,,,,f,,,,
rec-825763-dup-2,Chriq,Chr'lsh,,,,,,,f,Person,,,Dance  DJ
rec-285484-dup-0,Scr0t8m,Skroum,,,,,,,f,,,,French pvnk
rec-39182-dup-1,Luecsus Leberpostei,Luxust Levherpostei,,,,,,,f,,,id-160,
rec-508834-dup-1,Ciermont  Maclrod,Clermomd  Macleod,,,,,,,f,,,,
rec-336924-dup-1,191u,1914u,1994,,,,,,f,,,rec-10-dup-0,
rec-152048-dup-0,The Gatyrs,Gturs The,,,,,,,f,,,id-222,
rec-130007-dup-1,The Starjighgs,Starlighr5 The,,,,,,,f,,,,Rarity Records
rec-536374-dup-0,Rvmztera,Runatecra,2007,,,,,,f,,,id-105,
rec-539307-dup-2,浦飯幽,Urwmeshi Yuusucke,,,,,,,f,,Male,id-107,Anime Yu Yu Hakuxo character
rec-889609-dup-0,増子司y,Masulco Tsukqsa,1963,4,3,,,,f,,Male,id-107,v'ldeo game music composer
rec-995515-dup-0,Uzlc,Uts'l,1985,8,7,,,,f,,Male,id-81,Grrman rapper
rec-267212-dup-1,Te Sikilou,Similou Th,2003,,,,,,f,,,id-202,
rec-1295353-dup-0,Weather5ate,Weatner5tate,,,,,,,f,,,rec-221-dup-0,
rec-4092-dup-1,Stranded At Tbe DrieIn,Stranded At The DnueIn,,,,,,,f,,,,
rec-38345-dup-0,Virgol Fx,Fox Viahgi1,1912,5,3,1980,10,25,t,,Male,id-222,or9anist
rec-985155-dup-2,Orcestra o the Swan,Swan Orchestra 0f the,1995,,,,,,f,,,rec-221-dup-0,StratforduponAvon Engoand
rec-35749-dup-0,Spread nEagke,Spread Eakle,1989,,,1995,,,t,,,id-222,
rec-67588-dup-0,Cyperfjt,Cy1>erfid,,,,,,,f,,,,
rec-622322-dup-1,Vizit0rs,Visi9ors,,,,,,,f,,,id-81,Gernan techno duo
rec-1527709-dup-0,Hart Bzckl>ord,Hartz Backbord,1974,2,24,,,,f,,,id-23698,
rec-187670-dup-0,Rau1 de Spuza,de Sousa Ravl,1934,8,23,2021,6,13,t,,Male,id-30,
rec-893054-dup-1,Charlie Sepukvwda,Sepulveda Cbariie,1962,,,,,,f,,Male,,
