artist_credit,position,artist,name
id-24482,0,id-24482,The Avalanches
id-4304,0,id-4304,Annie Ross
id-245283,0,id-245283,Annisteen Allen
id-39764,0,id-39764,飯島真理
id-51209,0,id-51209,David Shire
id-601621,0,id-601621,Nathan Hofheins
id-1485398,0,id-1239223,Shinkasta
id-695643,0,id-695643,Hecenia
id-204327,0,id-204327,Nordcore GmbH
id-1092213,0,id-559017,La puerta de los sueños
id-1084086,0,id-945903,Ida Elina
id-98933,0,id-98933,The Duke Ellington Trio
id-1988644,0,id-1500972,Six of Swords
id-153657,0,id-153657,Bernard Minet
id-66441,0,id-66441,Kim Stockwood
id-721925,0,id-721925,Zaufke Thomas
id-834166,0,id-37444,Tsuneo Imahori
id-1137513,1,id-985678,Tina Quallo
id-1137513,0,id-752515,K Sparks
id-55901,0,id-55901,Saccoman
id-34560,0,id-34560,Модест Петрович Мусоргский
id-1174745,0,id-1014222,Ligita KursišaPataša
id-615231,0,id-615231,Juanita Williams
id-32941,0,id-32941,Marilyn Scott
id-652187,0,id-652187,Gerald Clayton
id-1155328,0,id-525068,Lyra All Stars
id-1155328,1,id-463432,Johanna Iivanainen
id-247354,0,id-247354,Benny Goodman and His Orchestra
id-795534,0,id-795534,Ruffnexx Sound System
id-3071674,0,id-6545,David  the High Spirit
id-610381,0,id-610381,Furry Lewis
id-1466340,0,id-62370,A‐Trak
id-527371,0,id-527371,The Helpful Soul
id-10931,0,id-10931,Eppu Normaali
id-8692,0,id-8692,Freddie King
id-87893,0,id-87893,Henry Purcell
id-735589,0,id-735589,James Lavino
id-862379,1,id-750072,Tim Mays
id-862379,0,id-99287,Sal Salvador
id-122166,0,id-122166,4Voice
id-1181,0,id-1181,Wilco
id-4,0,id-4,Massive Attack
id-335423,0,id-335423,Everlost
id-576463,0,id-576463,Monique Kessous
id-385786,0,id-385786,THE PINK☆PANDA
id-81239,0,id-81239,Ivan Lins
id-740464,0,id-740464,Baxter Pat
id-2129480,1,id-807305,Souleye
id-2129480,0,id-508443,Blvd
id-34851,0,id-34851,Don Ross
id-52277,0,id-52277,Landser
id-185828,0,id-185828,Beegie Adair Trio
id-529997,0,id-529997,Robert Wolf
id-789457,0,id-789457,Gilles Droulez
id-3452,0,id-3452,Memphis Slim
id-7966,0,id-7966,Susumu Yokota
id-569503,0,id-569503,Annette Moreno
id-119584,0,id-119584,The Green and Yellow TV
id-1037204,0,id-919202,The Breaks Collective
id-4915,0,id-4915,Controlled Bleeding
id-1319513,2,id-5453,Herb Ellis
id-1319513,0,id-5395,Monty Alexander
id-1319513,1,id-5455,Ray Brown
id-1197,0,id-1197,Randy Newman
id-3690,0,id-3690,Christopher Young
id-1060156,0,id-931805,The Chaperals
id-66398,0,id-66398,Son Kite
id-103924,0,id-103924,Pimmon
id-1050419,0,id-868973,Ross Lynch
id-123,0,id-123,Cliff Richard
id-23396,0,id-23396,Kim Robertson
id-886636,1,id-714192,Jesse Loren Josefsson
id-886636,2,id-840550,Denis Dobrenz
id-886636,0,id-711604,Phraze
id-470776,0,id-470776,山中千尋
id-168462,0,id-168462,Lawrence
id-1156,0,id-1156,Wes Montgomery
id-329659,0,id-329659,Blissed
id-176025,0,id-176025,Johnny Cosy
id-183473,0,id-183473,Vomitous
id-93814,0,id-93814,GoGoGo Airheart
id-432637,0,id-432637,TAMUSIC
id-2234,0,id-2234,Wildchild
id-687367,0,id-687367,Le Modem
id-68173,0,id-68173,Jason Mraz
id-30944,0,id-30944,Freddie Jackson
id-1048259,0,id-925455,Sean Justice
id-2060126,0,id-1551197,サイダーガール
id-67071,0,id-67071,Riccardo Cocciante
id-682511,0,id-682511,Robert Etoll
id-485929,0,id-485929,Easy Street
id-81137,0,id-81137,La Ruda
id-59820,0,id-59820,Holger Czukay
id-353328,0,id-353328,Олег Погудин
id-173184,0,id-173184,KSU
id-3751,0,id-3751,John Fred  His Playboy Band
id-22301,0,id-22301,Five for Fighting
id-833317,0,id-812091,Stu Larsen
id-118559,0,id-118559,X Fade
id-218240,0,id-218240,Malignant Eternal
id-261708,0,id-261708,Bernabe de Moron
id-266471,0,id-266471,Guy Gross
id-905985,0,id-669889,Jsbl
id-828721,0,id-809439,KNX Crew
id-1479605,0,id-1235826,Imagination Society
id-739839,0,id-739839,Insingizi
id-165187,0,id-165187,Ann Christy
id-562442,0,id-562442,Apiary
id-3769,0,id-3769,RL Burnside
id-469503,0,id-469503,AOK
id-532524,0,id-532524,Solanos
id-1622468,0,id-1323260,Fries Jeugdkoor
id-1622468,1,id-835921,Meindert Bosklopper
id-170587,0,id-170587,林子祥
id-888572,0,id-204119,Basil Kirchin
id-888572,1,id-423571,John Coleman
id-721275,0,id-875398,The Painted World
id-595515,0,id-595515,Älskade barnvisor
id-456931,0,id-456931,Kalua Beach Boys
id-39319,0,id-39319,TOK
id-50353,0,id-50353,Salad
id-60,0,id-60,Tori Amos
id-11684,0,id-11684,Randy Edelman
id-67962,0,id-67962,高木正勝
id-1211294,0,id-1038572,biff0r
id-359679,0,id-359679,Wings
id-3221725,0,id-2289990,Empyreal
id-640303,0,id-640303,Mark McGuire
id-38339,0,id-38339,Giovanni Battista Vitali
id-339575,0,id-339575,Space
id-313146,0,id-313146,Jon A Kull
id-14904,0,id-14904,Bill Nelson
id-118918,0,id-118918,DJ Pope
id-1193528,0,id-798895,RAINBOW
id-969266,0,id-883983,Yggdrasil
id-189646,0,id-189646,Clive Cussler
id-406552,0,id-406552,Mieka Pauley
id-245106,0,id-245106,Marion
id-362264,0,id-362264,The Year Of
id-659454,0,id-659454,Simon Etchell
id-36414,0,id-36414,deLillos
id-375147,0,id-375147,Kaimiņi
id-49648,0,id-49648,Sam Brown
id-1026319,0,id-189913,Juicy J
id-1026319,1,id-32522,Project Pat
id-879316,0,id-837200,百蚊
id-816861,0,id-658046,Nigel Bates
id-816861,1,id-717300,Ben Fenner
id-203525,0,id-203525,Liane Carroll
id-184,0,id-184,Jimi Hendrix
id-2421846,0,id-1820453,Martin and Company
id-172464,0,id-172464,Hedvig Hanson
id-259771,0,id-259771,Ten 33
id-44954,0,id-44954,The Prodigy
id-246816,0,id-246816,つしまみれ
id-30719,0,id-30719,Inspiral Carpets
id-347,0,id-347,Nine Inch Nails
id-283289,0,id-283289,Edward H Dafis
id-1191347,0,id-1024956,Manolo Guardia
id-207287,0,id-207287,The Brains
id-61506,0,id-61506,The Human Expression
id-171378,0,id-171378,Любэ
id-654943,0,id-654943,Mick Parker
id-372448,0,id-233556,Disciplina kičme
id-518958,0,id-518958,Black Flight
id-713238,0,id-713238,They Would Be Happy People
id-53908,0,id-53908,Mudmen
id-592428,0,id-592428,Ben Somer
id-461087,0,id-461087,Unlogistic
id-866411,0,id-831118,Erik Koskinen
id-9871,0,id-9871,AZ
id-33040,0,id-33040,Mose Allison
id-440517,0,id-440517,Basic Soul
id-668778,0,id-668778,Gaither Carlton
id-869643,0,id-46003,Resistance D
id-359296,0,id-359296,Mistakes
id-179793,0,id-179793,Army of Freshmen
id-322000,0,id-322000,Hope College Chapel
id-62,0,id-62,Modest Mouse
id-1171813,0,id-1011759,Night Nurse
id-652385,0,id-596787,OxygenStar
id-148129,0,id-148129,Ken R Incorporated
id-1479400,0,id-1235696,High n Heavy
id-1021,0,id-1021,Ludwig van Beethoven
id-122538,0,id-122538,Lotto King Karl
id-486532,0,id-486532,Janet Evanovich
id-24070,0,id-24070,Salif Keita
id-1097,0,id-1097,Heather Nova
id-430512,0,id-430512,Clay Fav
id-45713,0,id-45713,The Count Basie Trio
id-14732,0,id-14732,The Plimsouls
id-20886,0,id-20886,Johnny Pearson
id-23678,0,id-23678,Plácido Domingo
id-2862,0,id-2862,Go West
id-574766,0,id-574766,Negronis Trio
id-255919,0,id-255919,Kristin Chenoweth
id-33980,0,id-33980,Lalo Schifrin
id-48009,0,id-48009,GTO
id-173656,0,id-173656,Panzer AG
id-563674,0,id-563674,Geir Egil Larsen og tjukke slekta
id-4825,0,id-4825,Therion
id-175299,0,id-175299,The Romantic Strings and Orchestra
id-222040,0,id-222040,The Bourbon Street Paraders
id-2424139,0,id-1822089,Spawn
id-724789,0,id-724789,Papsmear
id-1338,0,id-1338,Jerry Goldsmith
id-128831,0,id-128831,Les Reines Prochaines
id-181362,0,id-181362,SFP
id-116496,0,id-116496,Crimpshrine
id-1527797,1,id-341915,Otto Sander
id-1527797,0,id-9018,Charles Bukowski
id-40230,0,id-40230,Värttinä
id-57227,0,id-57227,Betty Davis
id-165013,0,id-165013,Luigi Cherubini
id-2601,0,id-2601,Blind Guardian
id-842775,0,id-817728,Frankie Cicala
id-38401,0,id-38401,Ace Troubleshooter
id-2817762,0,id-2049850,FREEATLAST
id-887917,0,id-98202,Glykeria
id-908067,0,id-373165,Hugh Marsh
id-99603,0,id-99603,Fila Brazillia
id-774364,0,id-774364,Pasqualet de VilaReal
id-50027,0,id-50027,Frankie Paul
id-47366,0,id-47366,Steve Cole
id-1081208,0,id-316472,Steve Jansen
id-1081208,1,id-939515,Claudio Chianura
id-536888,0,id-536888,Gentry Morris
id-96222,0,id-96222,Jukka Kuoppamäki
id-174368,0,id-174368,Spencer P Jones
id-58636,0,id-58636,Andrés Calamaro
id-51253,0,id-51253,Slusnik Luna
id-2076,0,id-2076,Meat Puppets
id-1549733,0,id-1285731,Prowler
id-880627,0,id-715907,Randy Wachtler
id-880627,1,id-837884,Billy Kidd
id-97025,0,id-97025,Kirka
id-455739,0,id-455739,The EDLOS
id-156,0,id-156,Bryan Adams
id-11598,0,id-11598,Merrill Jenson
id-3154673,0,id-9839,Naked City
id-3154673,1,id-47912,Mike Patton
id-256643,0,id-256643,Lobão
id-655141,0,id-655141,Stephen L Allen
id-425389,0,id-425389,Cignol
id-57184,0,id-57184,Hannah
id-53043,0,id-53043,Cosmic Rough Riders
id-121642,0,id-121642,Resonance
id-1074887,1,id-858050,Lillian Stokes
id-1074887,0,id-858049,Donald
id-1074887,2,id-933437,Kevin Colver
id-188882,0,id-188882,AlienSix13
id-152494,0,id-152494,Tommy Coomes Band
id-844070,0,id-818520,Sea Dweller
id-341795,0,id-341795,Precious Wax Drippings
id-49606,0,id-49606,Nicole
id-2007922,1,id-1514341,Walter Sittler
id-2007922,0,id-1275676,Wolfgang Schorlau
id-147693,0,id-147693,Ernest Gold
id-652448,0,id-652448,Mod Con
id-52898,0,id-52898,Paul Dukas
id-737792,0,id-737792,Dětský sbor Prážata
id-201995,0,id-201995,Mobylettes
id-67588,0,id-67588,Cyberfit
id-10984,0,id-10984,In Flames
id-9578,0,id-9578,Matthew Sweet
id-103870,0,id-103870,Jan Pieterszoon Sweelinck
id-64925,0,id-64925,Lenny Williams
id-258159,0,id-258159,Stockholms Negrer
id-120323,0,id-120323,Stendal Blast
id-125932,0,id-125932,Amp
id-588561,0,id-588561,Nimbus Luna
id-592738,0,id-592738,Sver
id-35007,0,id-35007,Farside
id-907110,0,id-851379,Goodbye
id-678164,0,id-678164,Da Hellweazle
id-10729,0,id-10729,Antonín Dvořák
id-219134,0,id-219134,Los Crudos
