place,gid,name,place_type,address,area,coordinates,ended
1825,7b357fb6f618472b96f516ca86d3f54d,Avicii Arena,Indoor arena,Globentorget 2 121 27 Stockholm Sweden,115834,5929355618083236,f
38935,1803c2655f3c4b41ba663bfebb2002e0,Burg Abenberg,Other,Burgstraße 16 91183 Abenberg Germany,68705,4924329210962848,f
4141,8c2ae7b6c85b4bb090234deff04db027,The Vanguard,Venue,42 King St Newtown NSW 2042 Australia,5126,33892862151186365,f
57093,d95347654a3a416cbe75a90834e37d42,Hard Rock Café Dublin,Venue,12 Fleet St Temple Bar Dublin D02 NW56,9622,,f
31048,580ab2b0b588426583931b1b41a01108,Sound Ranger Studio,Studio,Schleebrüggenkamp 8,69541,,f
29029,84913170b91c4a5a98935f702ab383c4,Classic Sound Ltd,Studio,,1178,,f
3575,dca2464368984f6a9f3723a409421f54,Le Réservoir,Venue,16 rue de la Forge Royale 75011 Paris France,4434,488514472380528,f
843,4e25c960584e4f0d98c52e5ea2d929c1,cube garden,,北海道札幌市中央区 北2条東3丁目25,11712,43065039141360129,f
8048,96074590aeab45b3a82b7d3df7ced631,The Boarding House,Venue,960 Bush St San Francisco CA 94109,7022,37789968122414781,t
31475,c28d207b43a34196a465c2304634fdcd,La Marée,Venue,,7281,,t
18510,bcf58380005c4f06b3337c02693e485f,M4II,Studio,,,,f
37207,2f6d8219bb77457385d16214838eb805,Post Logic Studios,Studio,,39882,,f
8829,c990761c3ee24fc09bad6d5d85d28945,Schlosskirche,Religious building,,8966,509803113322,t
17549,7b6065701d0c4e0f9cc650b948804e5f,SOMA Studios,Studio,,1178,,f
3789,cab9dc1b76664207be18f1e27e4d4899,Accademia nazionale di Santa Cecilia,Educational institution,Viale Pietro de Coubertin 30 00196 Roma,5060,41929124745,f
16513,69b70013edd74a559ed0a87946be1482,KCE東京Aスタジオ,Studio,,397,,f
34513,7ba039c381df45f3a0431cfa8b1c438d,Stereo Sound Studios,Studio,,7020,,t
39107,a08c60c1773d4977969dc35802295002,Two States Audio,Studio,,5099,,f
18716,f14b88432f4b4519a71202a22dfa7980,Brooklands Road Studio,Studio,,1178,,f
35049,aee431b832534bab8129e88e71eb7694,Preah Suramarit National Theatre,Venue,,2625,,t
14039,6645a264247a4d728a80a3449bf64549,Revolution Bar  Music Hall,Venue,140 Merrick Rd Amityville NY 11701,87946,4067126173419026,t
49896,2b3345954c33404a8f5b879592c55986,Kleine Beethovenhalle,Venue,,7023,50672671583,f
12651,3dc2fac3fccc4764b543d0e08e67e801,Bug Jar,Venue,219 Monroe Ave Rochester NY 14607,5303,4315004477600096,f
35794,e55353db8f1c4cc982b71c54e02f943e,MOXE,Studio,,5213,,f
10365,8ef573b73c464348b068001f2b357cfe,April Base,Studio,,94156,,f
4962,d2ceb7f9977a4e70ac5f9d2d2c219a8c,Lovely Records,Studio,,8852,,f
24868,878313a530604e349f8539e888e06d68,Teatro del Estado,Venue,Boulevard Adolfo López Mateos 1112 Conjunto Urbano Caliss 21150 Mexicali BC Mexiko,87960,32654812115474565,f
5582,3e83afb962b04c2ba87bdd5308a69cb5,Astoriasali,Venue,Iso Roobertinkatu 14 FI00120 Helsinki Finland,7713,6016350324942328,f
56809,e4e75cf47f48425691d6acd3c7a36018,Angel Sound Studios,Studio,,9279,,f
22361,e9f40c1a46b5424ca06cb3281ff9eb6d,Radio Records Studio,Studio,,2913,,f
46700,13af5ec1369040558f28676a65328def,The Jaffa Cake,Venue,28 Kings Stables Road Edinburgh EH1 2JY,3822,559484823203925,t
35966,651e3ac65df04b25842ae2d8d5383ee4,Partille Arena,Indoor arena,Arenatorget 2 433 35 Partille Sweden,12836,577400212116962,f
52981,93f08e9201964edaa20549d2e72bf22f,Vortn Vis,Venue,Kiekenmarkt 7 8900 Ieper,101373,50849462884307,f
33015,eedd5a0b64b44e93a0ad85c4b37ac698,DQ Studios,Studio,,71662,,f
50905,6b77ac40e3dc4de19d8dca0628e43d31,Location B,,,,,f
42678,eca51586a3f34f299989fcd13fea1820,Gyllenbergsalen,,,7713,601791249222,f
5178,577e3e7235b5484bbad1b9d2816d839a,Rainbow Studios,Studio,,7710,,f
22376,60ead923b2f74a15b44f0d2b001d68e5,Pavillón Multiusos Fontes do Sar,Indoor arena,Rúa Diego Bernal 15702 Santiago de Compostela A Coruña Spain,5184,428761918530752,f
37470,39357e8af8754bf7bf239f974f5e58fb,Crosby Hall,,,1178,,t
48842,51f0f93ab4f64df78591646784224ffe,Ryemuse Sound,Studio,64 S Molton St,119072,515133530146862,f
7497,24a405cfdc334848ae9c1e8d84baa7b8,Rogers Centre,Stadium,One Blue Jays Way Toronto Ontario Canada M5V 1J3,5076,4364138979389167,f
24852,ff8baa0a999b4fad8a5d75e3ceb7e7c6,808sounds,Studio,,,,f
25251,8ede0ad6c1574df4a477c72ea2eb0fb6,Main Stage,Venue,,107042,,f
36507,0720c470c36541d9b52a1869f3163829,Inouïe,,,4434,,f
21124,fbd856546aef445eb10fb3d718de64f5,Guldbergaunet stadion,Stadium,,12351,6402145211510496,f
32621,f0c7ee6d63a84c92b03be0d3701e265c,Bright Lights Studios,Studio,,23641,,f
6619,685a0a1899c044b3b5d5e35587061a0e,St Georgenkirche,Religious building,,69821,508161381254126,f
33696,f0de5f4285ad4fdc977b8b4d327b7a45,Studio KOLKHOLZ,Studio,,,,f
56317,a1ff3a4798a141d3a3a88b0dc7b5d8e4,Glass Hand Studios,Studio,,5282,,f
5831,b976af4446f149b396372799f7d14f9a,Epicurus Studio,Studio,〒1530064 東京都目黒区下目黒３丁目２４－２２,116724,35631506139707729,f
24216,0e6ac0a85bc3406087ea484778634531,Rock  Roll Hotel,Venue,1353 H St NE Washington DC 20002,269,3890005176986575,f
28814,5b8b3a24f05f4273b94cc37744c329be,AB Recorders,,,7731,,f
37647,2f41f7a72ef2455ab11cadfff2098846,Eagle Mountain House,Studio,,,,f
45036,ea082a2f86ca44668bc1864a485d9d28,Recombination Labs,Studio,,295,,f
48198,645b2c6fe00343d48812c9d3e01124c6,Rotund Rascal,Studio,,115610,,t
29495,0baf8cecb2fc432c8bf923428a287d54,Akins Ford Arena at The Classic Center,Indoor arena,,31088,,f
22314,0b0fc96779324e86ae40b0f45f4e0d44,Space Velio,Studio,,397,,f
31099,a31abd69c05740bbad6b50868a003e99,Bliss Studios,Studio,,7734,,f
21681,3895b49d440740a4a69d88ba75de741a,Lydetaten,Studio,,160,,f
43291,845eb694208a46f8a3400a4bbe8c378d,Nurmijärven musiikkiopisto,Educational institution,Keskustie 6 FI01900 Nurmijärvi Finland,12047,,f
6530,70e8ac3c82ae41208d68dbcc80aad02f,Mann Center for the Performing Arts,Venue,5201 Parkside Avenue Fairmount Park Philadelphia PA 19131,7707,399831752228,f
10500,f95b89e19fae40878ddbbeae80c5650e,Sunswept Studios,Studio,,7703,,f
17219,b447db94466945be85ed6c2e07759cf8,Track Farm,,,,,f
44949,53d3978a0b0a4ba0b9f61e6cd470da08,Le Baril Roulant,Venue,1885 Chemin du Village MontTremblant QC J8E 1K4 Canada,9250,,f
8487,cbc3e48f8c4b461cae9e47bae819d30f,Brisbane Entertainment Centre,Indoor arena,Melaleuca Drive Boondall Queensland 4034 Australia,117103,27342222153071111,f
32627,d3300914c7ce4173ae2f4cb7e24cd1a2,Bobtale Studio,Studio,,68706,,f
18394,2172dcce80f6480eab4bb4f453ab281b,WET Stage,Venue,,71242,,f
20698,581b3ffb9b2d4c7a8f6148736f5b910c,Erock Studio,Studio,,,,f
46521,de5fc21fafac4aa3bb0e5728fd85ff96,Parkhill Studios,Studio,,115961,,f
3015,ede5281aa94f47dc9db518a6cbe6ae43,Coliseu dos Recreios,Venue,Rua Portas de Santo Antão 96 1150269,5062,387167339140175,f
37960,f28b6faeea144d8e954da94a9cfef31f,Coldwater Studios,Studio,,7703,,f
17326,b06fcaedf3f146559fee675c5351d6ad,Digraneskirkja,Religious building,,26627,6410778421886278,f
46413,4b3f70db8b484127bdda4058188f5cab,VL Studios,,,22375,,f
50494,fcd643f69d0147bdbcd18ac93704daad,Huntington City Beach,Other,,22328,33650994117995996,f
32441,552ef9a8c7f24be6bde7e0a8aedf9f25,Brooklyn Bowl,Venue,61 Wythe Ave Brooklyn NY 11249,115611,407218873957424,f
15353,82ae79b57b514edeb211c41bdb940437,Europahalle,Venue,,23722,,f
15989,24c076b2acdb4d07b546c3c2395e0289,Mixing Room Studios,Studio,,7703,,f
21270,9fe76a64e23d49e1a23c969d9c2eb36b,Uneven Studio,Studio,,5197,,f
49174,7895a3d94bd0436cac819b2966b11149,Studio 54,Studio,Berlin Hohenzollerndamm 54,81,5248162513289115,f
24278,eeeb077ff76b4488af45de6ce53e2836,Secret Studios,Studio,,7737,,f
25094,8c4db0ebea6646f784739140fb7107d4,Long Beach City College,Educational institution,,7324,33834167118135556,f
8010,7c97725bc40c462db050ab6423560546,Formation Studios,Studio,,221,,f
30712,09bbfe134f1e45d0bad87bed52cab46f,HiBPM Studio,,,,,f
5607,d94ed499f6844d419576442ec59af6ad,NightShift Studios,Studio,27 Whittington Avenue Christchurch 8023,5353,,f
