id,release,position,format,track_count
1351970,id-1310891,1,1,9
609519,id-609519,1,1,19
653652,id-653652,1,12,11
1138073,id-1124771,2,1,12
2096935,id-1959565,2,1,16
1221200,id-1196775,1,12,16
2618056,id-2416339,1,1,12
963561,id-963561,1,,18
30128,id-30128,1,,10
673316,id-673316,1,12,105
330947,id-330937,2,1,14
1047997,id-1047083,1,1,12
401013,id-401013,1,1,9
297000,id-297000,1,1,17
761292,id-761292,1,1,21
566142,id-566142,1,1,26
222826,id-222826,1,,18
1053643,id-1051858,1,33,7
127064,id-127064,1,1,20
663321,id-663321,1,1,6
951393,id-951393,1,,10
334638,id-334638,1,1,20
719111,id-719111,1,31,9
1117494,id-1106596,1,,14
1049655,id-1048404,1,,17
1692892,id-1609643,1,12,5
761010,id-761010,1,1,17
971889,id-971889,1,1,18
985714,id-985714,1,,13
3087995,id-2840748,1,12,6
445431,id-445431,1,1,9
1196497,id-1175272,1,12,15
1847369,id-1742752,1,1,69
2256121,id-2096591,1,38,12
2388303,id-2213310,1,30,24
3256463,id-2991995,3,1,99
700451,id-700451,1,31,15
499579,id-499579,1,1,16
3651382,id-3350410,1,12,101
920667,id-920667,1,1,15
7486,id-7486,1,1,14
22208,id-22208,1,,2
823470,id-823470,1,1,23
187317,id-187317,1,1,14
1367855,id-1324839,1,12,17
1004600,id-896461,2,,13
3652784,id-3351673,1,12,6
650320,id-650320,1,1,2
160395,id-160395,1,1,26
682594,id-682592,2,1,13
694739,id-694739,1,12,82
639830,id-639830,1,31,4
441292,id-441292,1,31,4
1197226,id-1175877,1,1,10
1161755,id-1145517,1,1,18
1191974,id-1171526,1,,63
1235466,id-1209616,1,1,4
1271063,id-1240698,1,1,12
153531,id-153531,1,1,8
610932,id-610932,1,12,161
9096,id-9096,1,1,22
174159,id-174159,1,1,13
197110,id-197110,1,1,16
1204496,id-1182337,1,12,4
1098355,id-1090569,1,1,8
674168,id-674168,1,12,42
445796,id-445796,1,1,14
671942,id-671941,2,1,7
2617120,id-2415478,1,1,10
1131957,id-1119329,1,1,17
451332,id-451332,1,1,13
846924,id-846924,1,1,13
1241023,id-1214516,1,1,12
817651,id-817651,1,1,16
1236235,id-1210298,1,1,99
1039814,id-1027922,4,1,10
1349855,id-1309021,1,1,30
838602,id-838602,1,1,14
805777,id-805777,1,1,14
93297,id-93297,1,,11
695712,id-695712,1,12,70
1425684,id-1375581,1,1,10
1488838,id-1430636,4,1,20
379638,id-379638,1,1,4
1055445,id-1053359,1,12,19
582892,id-582892,1,,10
494729,id-494729,1,1,12
1695244,id-1611644,1,12,53
2692453,id-2485166,1,1,9
377732,id-377732,1,1,14
178307,id-178304,2,1,19
493121,id-493121,1,1,10
623496,id-623496,1,7,33
3652310,id-3351258,1,1,15
148330,id-148330,1,1,20
1095190,id-1087859,1,1,3
975855,id-975855,1,,16
1088883,id-1082549,1,1,15
1333466,id-1294673,1,8,7
1133677,id-1120826,1,12,7
903571,id-903571,1,,18
1692621,id-1609407,1,12,7
2110462,id-638326,23,1,8
916478,id-916478,1,1,23
3256492,id-2992009,5,1,13
1275857,id-1244649,1,1,11
601531,id-601531,1,1,12
343041,id-343041,1,1,16
263106,id-263106,1,1,12
929399,id-929399,1,8,27
611918,id-611918,1,12,33
1215824,id-1192202,1,1,17
1424043,id-1374225,3,1,18
790054,id-790054,1,1,9
1125663,id-1113764,1,1,13
549726,id-549726,1,1,12
757555,id-757555,1,1,7
639054,id-639054,1,1,15
1029383,id-1029383,1,,29
44336,id-44336,1,1,10
531663,id-531661,2,1,20
935345,id-935345,1,,16
2619728,id-2417898,1,8,3
772076,id-772076,1,1,25
1279982,id-1247994,1,1,10
573082,id-573082,1,1,14
63088,id-63088,1,,12
2697862,id-2489952,1,12,7
1332404,id-1293732,5,1,7
73694,id-73694,1,1,13
455903,id-455903,1,12,11
1167084,id-1150225,2,1,8
2798304,id-2578969,1,12,14
1063536,id-1060399,1,1,8
380716,id-380716,1,1,11
3084969,id-2837893,1,12,11
921163,id-921163,1,1,15
1119059,id-1108003,1,1,8
162925,id-162925,1,1,14
853185,id-853185,1,,23
3656742,id-3355377,1,1,20
272122,id-272122,1,1,10
614793,id-614793,1,1,8
1024394,id-1024394,1,,5
1287527,id-1254698,1,31,16
277858,id-277858,1,7,13
185152,id-916386,2,1,20
208761,id-208761,1,1,11
1040241,id-1040241,1,,22
357705,id-357705,1,1,18
749087,id-749087,1,12,97
1133396,id-54731,4,1,17
875462,id-875462,1,,13
37367,id-37367,1,1,12
664949,id-664949,1,1,14
984041,id-984041,1,,14
1307944,id-1272498,1,1,14
695769,id-695769,1,12,75
1491767,id-1433214,2,1,14
1182618,id-1163458,3,1,25
562233,id-562233,1,1,14
128539,id-128539,1,,12
1241673,id-1215075,4,1,92
163520,id-163520,1,1,4
961040,id-961040,1,,13
2045752,id-1915559,1,12,16
118555,id-118555,1,,21
2256046,id-2096528,1,1,12
2112231,id-1973007,2,1,13
805234,id-805234,1,12,14
694465,id-694465,1,12,60
1772099,id-1677915,1,1,28
727670,id-727670,1,1,52
1228707,id-1203401,1,1,13
2555523,id-2359735,1,1,6
734669,id-734669,1,1,9
48342,id-48342,1,1,12
1297921,id-1263764,1,1,31
844006,id-844006,1,,8
234760,id-234760,1,1,14
1094308,id-162574,1,1,14
733408,id-733408,1,1,11
1035103,id-1035103,1,,4
3088985,id-2841643,1,12,114
495113,id-495113,1,1,15
930439,id-930439,1,1,10
1118242,id-1107283,1,33,8
51070,id-51070,1,,30
638827,id-638827,1,1,20
270430,id-270430,1,1,8
929690,id-929690,1,1,74
3261641,id-2996699,1,1,22
205995,id-205995,1,,30
176377,id-176377,1,1,18
813583,id-813583,1,1,8
1249605,id-1222169,1,1,23
689639,id-689639,1,7,35
1197559,id-1176166,1,12,11
3256855,id-2992316,3,1,24
532336,id-532336,1,7,2
1310980,id-1275045,1,12,3
477856,id-477856,1,1,9
79605,id-79605,1,1,16
809803,id-809803,1,12,143
535349,id-535349,1,1,20
612521,id-612521,1,12,295
1024551,id-1024551,1,,12
2865271,id-2638692,1,12,7
1165343,id-1148698,1,8,10
668859,id-668859,1,1,22
775336,id-775336,1,,5
184881,id-184881,1,1,12
997694,id-997694,1,,10
668922,id-668922,1,31,23
408538,id-408539,2,1,10
504719,id-504719,1,1,13
483306,id-483306,1,1,13
1299789,id-1265402,1,,38
2105447,id-1967134,2,43,104
1166748,id-1149935,1,1,58
696510,id-696510,1,1,12
11395,id-11395,1,,12
307078,id-307072,3,1,11
895566,id-895566,1,,13
1008881,id-1008881,1,,18
222402,id-222402,1,1,43
373055,id-373055,1,1,18
89552,id-89552,1,,10
1360466,id-1318303,1,12,16
2617574,id-2415896,1,1,11
399511,id-399511,1,29,2
453980,id-453980,1,1,7
957210,id-957210,1,33,20
3659916,id-3358343,1,12,14
284722,id-284722,1,1,18
1276435,id-1245146,1,1,8
365776,id-365776,1,1,15
167817,id-167817,1,31,10
3901379,id-3580870,1,12,19
764430,id-764430,1,7,8
1001786,id-1001786,1,1,16
968596,id-968596,1,,20
848059,id-848059,1,12,17
2561267,id-2364984,1,12,11
693305,id-693304,2,1,27
549182,id-549179,3,,40
881864,id-1010369,2,,38
1074126,id-1069712,1,12,14
810065,id-810065,1,1,11
476454,id-476449,2,1,14
1120927,id-1109661,1,1,2
398588,id-398588,1,1,15
493458,id-493458,1,7,12
534700,id-534700,1,1,15
907811,id-907811,1,,13
268421,id-268421,1,,16
1272746,id-1242149,14,1,35
1011987,id-1011987,1,,9
1297638,id-1263521,1,1,12
2336881,id-2167193,1,12,20
1296640,id-1262651,1,1,14
129524,id-129524,1,1,26
163846,id-163846,1,1,12
1346725,id-1306307,1,8,9
357174,id-357174,1,1,11
694563,id-694563,1,12,76
537960,id-537960,1,1,25
3352158,id-3079542,1,12,11
1210850,id-1187900,1,29,2
1020828,id-1020828,1,7,5
305916,id-305916,1,1,22
1172452,id-1154723,1,1,15
690619,id-690619,1,12,59
1008312,id-1008312,1,1,16
