id,gid,name,label_type,area,ended
244882,7b19b800c30943bf87adf580c1bb4315,Wild Rice Music,Publisher,,f
4266,8fdaf5f2ed8e4802bcf697357cb64926,Mellow Records,Original Production,id-105,f
122267,4a434164d584436cb2e751b4833fd00b,Hot,,,f
242484,80378d23e36f4315892870a3a08fae54,Famous,,,f
3236,44a0dfd4c1d14bb7af13ffd43d83d274,Long Distance,,id-73,f
94445,d91115b9e67a4b1da2c89fdbc680377c,Stereofreeze,Distributor,,t
184820,f278195349664c4f8af84d25029c7d65,Colectivo Casa Amarela,,id-5062,f
247578,90a4fec6cc7041dbaa5097d7f0ac0764,BlackFoxMusic,Original Production,id-326,f
246326,b27cd139ae7c4771b1bd32c26e9d81f5,Mutant1000000,Publisher,id-1178,f
125441,9f738a164db74d088c42b89af5740f24,Get Dancing Records,Distributor,,f
199978,28c2eb13195347f3806ed711ba316b9f,Start,Original Production,id-21,t
6388,ba95d5435da44b309e4b2b266420f642,Nice Records,Original Production,id-222,f
206333,ff3a76a1e8be461d93beb2ea16070c17,Old Familiar,,,f
76407,309bb551a21c4a5597bf4591e4580f6d,Warner Olive Music LLC,Publisher,id-222,f
123742,aa9796978cc74fe098600d716be4baad,Underground Sun,,id-115565,f
147407,1a07e2db7e6a43ea8210398180c6763f,Washington Records,,id-222,t
154352,e0b21841ada64e25a01034cb344f2276,Shedio Records,Production,,f
137604,908d9690b63d4554b70f6dc0aa8b85f1,Alma Criolla Records,,,f
150144,2422d759898a49b5b4ac5da5ef5b8a56,Universal MGB Autores Asociados,Publisher,id-194,f
103350,9af685b217ae43ffa4a1ab5e4194be9f,Self Serve Records,,,f
181954,4487e3a9724c426094019d4bd7d0019d,Ruff N Tuff Recordings,,,f
52618,2f71252d3ee64910a3162a48ad44f60e,Dynamic Reflection,,id-150,f
118242,d3aee46af81a4abeb85bddbdcc23fef8,K2 SOUND,Original Production,,f
230591,58be2819757343fb93cc345043fc8ea5,Chaos Wrecords,Production,id-221,f
152130,56c986c7da544640aaa345eb793547d7,Little Hi Records,,,f
8400,c2b325c5b2f846a4a6647f71afd8b06e,Ill Boogie Records,,id-222,f
55849,bbd0150973504fabaa38ab22f74f5f2f,Purple Trap,Original Production,id-107,f
74043,4f83746ecf7d4a878bd7c4e13b13de2d,Quantum,Original Production,,f
205730,1bee1167e03c4b9691d1170f4e82937b,Lazy Bones Recordings Inc,,,f
244594,f49729e93157413e8a4fc76b38ffcc1d,Paper Platoon,,,f
104988,ab40fe5f89f2426eb56edace413a3cd0,Black Gold Records,,id-7703,f
47661,67a38ac23012457e95e2762e6ec829ec,Eugene Records,Original Production,id-222,f
191251,e4ffb23fe8e24888a2a2dd913a944a7a,Loaded Lick Recordings,,,f
246056,9117ef8aae6644d49b2583a1bb77f966,Quatermass Music Ltd,Publisher,,f
130058,3257677d7f10494689a13985030d33d2,Gotte Records,Imprint,id-222,f
197675,9d33f2404d224a90b8ac0e51c88a1e57,Retro Music Box,,,f
9249,84f8251337ea47daa1f0daf52d34b4ef,Doxa Records,Original Production,id-81,f
215036,0934d61569de4d49895b255a9dd1f89a,Ape Gang Ent,,,f
198082,32cda70aa8f943588db0e060352431c5,SUB tl,,,f
201221,e26975ca5f1d41a5910f3ee334611567,Half Pint Records,,,f
99796,820a1ad412af4d6e809f331800c6ff6a,Phunky Data,,,f
180538,4294cf8d3f7041069c92d3c41e42710e,Abstract Reality,,id-73,f
