artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-492642,Salvatore Falbo,Falbo Salvatore,1872,,,1927,,,t,Person,,,
id-1049006,Perhaps Contraption,Perhaps Contraption,2004,3,,,,,f,Group,,,
id-574590,Cardiac Move,Cardiac Move,2002,,,,,,f,Group,,,
rec-861544-dup-0,Groseko kalclereroak,Grosecko kaldereroak,,,,,,,f,,,,
id-906899,Yang Xiu-lan,Yang Xiu-lan,,,,,,,f,Person,,,
id-251389,Paul Sequence Ferguson,Ferguson Paul Sequence,,,,,,,f,Person,,,
id-388423,DJ Dom,DJ Dom,,,,,,,f,Group,,,
id-371297,Ahab Rex,Ahab Rex,,,,,,,f,Group,,,
id-273015,Full Strike,Full Strike,,,,,,,f,Group,,,
id-428357,Lichtpunkt,Lichtpunkt,,,,,,,f,Group,,,
id-377571,Bobby Bell,Bell Bobby,,,,,,,f,Person,,,
id-336058,Rebel Assault,Rebel Assault,,,,,,,f,Group,,,
id-306530,Inyectores,Inyectores,2000,10,20,,,,f,Group,,,
id-455668,No End in Sight,No End in Sight,,,,,,,f,Group,,,
id-195457,Ståle Stiil,Ståle Stiil,,,,,,,f,,,,
id-1060888,Tülpa,Tülpa,,,,,,,f,Person,Male,,Pittsburgh United States
id-103218,Dadomo,Dadomo,,,,,,,f,,,,
id-869675,Sir Reginald Pikedevant Esquire,Sir Reginald Pikedevant Esquire,,,,,,,f,Person,Male,,
id-2052664,Jumbotown,Jumbotown,2004,1,1,,,,f,Group,,,
id-1805174,Связи,Svyazi,2013,,,,,,f,Group,,,
id-112289,Frank Bruno,Bruno Frank,1961,11,16,,,,f,Person,Male,,Former U.K. boxer
id-876186,Rattle-Snakes,Rattle-Snakes,,,,,,,f,,,,
rec-530881-dup-0,Mojo Gurvs,Moko Gurus,2004,,,,,,f,,,,
id-768686,Psychobuildings,Psychobuildings,,,,,,,f,Group,,,
id-48064,Kimball  Dekkard,Kimball  Dekkard,,,,,,,f,Group,,,
id-625691,GoLotus,GoLotus,,,,,,,f,Group,,,
id-118840,Madely,Madely,,,,,,,f,Person,Male,,
id-179965,Black Cats  The Kitten,Black Cats  The Kitten,,,,,,,f,,,,
rec-191956-dup-0,Ana,Ana,,,,,,,f,Group,,,DUNE producers alias
id-402725,78 From Home,78 From Home,,,,,,,f,Group,,,
id-974805,Dennis Dalton,Dalton Dennis,,,,,,,f,,,,
id-1121394,The Ivory Sleep,Ivory Sleep The,2013,10,2,,,,f,Group,,id-7801,
id-35530,Frank Morgan Quartet,Morgan Frank Quartet,,,,,,,f,Group,,,
id-141274,Stressman,Stressman,,,,,,,f,Group,,,
id-208668,DJ Matt,Matt DJ,,,,,,,f,,,,
id-2289172,Rutger Bregman,Bregman Rutger,,,,,,,f,Person,,,author
id-600377,Jon Savage,Savage Jon,1953,9,2,,,,f,Person,Male,,English writer broadcaster  music journalist
id-898658,Chesterfield,Chesterfield,,,,,,,f,Group,,,
id-539747,Splatpattern,Splatpattern,,,,,,,f,Group,,,
id-204170,Koy,Koy,,,,,,,f,,,,
id-192045,Gianna Jessen,Gianna Jessen,,,,,,,f,,,,
id-539743,Czarbles,Czarbles,,,,,,,f,Group,,,
id-193278,Maphive,Maphive,,,,,,,f,,,,
id-803123,Except,Except,,,,,,,f,Group,,,
rec-608125-dup-1,Slipsteeam,Slipsrream,,,,,,,f,Person,,,Hi-NRG art'lst
id-218369,Moonbreaker,Moonbreaker,,,,,,,f,,,,
rec-757910-dup-0,Isola DAmor,Isola DAjore,,,,,,,f,,,,
id-315869,Soil Sing Through Me,Soil Sing Through Me,,,,,,,f,Group,,,
id-1868785,Lilac Jeans,Lilac Jeans,,,,,,,f,Group,,,
id-812785,The Brother D.,Brother D. The,,,,,,,f,,,,Dane Crawford
id-812784,3B,3B,,,,,,,f,,,,William Renkosik
id-548404,Profi Bros,Profi Bros,,,,,,,f,Group,,,
id-342969,3is,3is,,,,,,,f,Group,,,
id-185142,The Chase,Chase The,,,,,,,f,,,,
id-112152,Phantom Audio,Phantom Audio,,,,,,,f,Group,,,
rec-1139755-dup-0,Suffer The Setl>ack,Suffer Tbe Setback,,,,,,,f,Group,,id-72239,
id-2396191,HABENTUB,HABENTUB,,,,,,,f,Person,Male,,
