medium,release,position,format,track_count
id-1386030,id-1340649,1,1,5
id-1269676,id-1239582,1,12,3
id-321279,id-321279,1,12,1
id-3902246,id-3581651,1,12,1
id-1130670,id-1118166,1,31,2
id-1130672,id-1118168,1,31,2
id-1354057,id-1312655,1,1,8
id-1368637,id-1325512,1,,7
id-3766839,id-3457002,1,12,1
id-926424,id-926424,1,1,13
id-340835,id-340835,1,1,5
id-684840,id-684840,1,1,7
id-3258665,id-2993967,1,12,1
id-869808,id-869808,1,,1
id-938272,id-938272,1,,3
id-463368,id-463368,1,31,3
id-2562712,id-2366327,1,12,1
id-82759,id-82759,1,,1
id-1237111,id-1211061,1,1,5
id-953196,id-953196,1,,19
id-777617,id-777617,1,12,3
id-1187458,id-1167696,1,1,3
id-945224,id-945224,1,,5
id-954664,id-954664,1,1,6
id-1346945,id-1306513,1,,13
id-1017460,id-1017460,1,,3
id-871948,id-871948,1,,5
id-464343,id-464343,1,31,2
id-493656,id-493656,1,1,11
id-1091522,id-1084783,1,31,3
id-613286,id-613286,1,,13
id-947517,id-947517,1,,2
id-653132,id-653132,1,31,2
id-1185340,id-1165822,1,1,3
id-1487717,id-1429635,1,33,1
id-222199,id-222199,1,,3
id-1111431,id-1101426,1,31,2
id-67741,id-67741,1,1,3
id-707691,id-707691,1,1,10
rec-1277774-dup-0,id-1246086,1,12,1
id-491722,id-491722,1,1,6
id-1115902,id-1105312,1,1,11
id-697323,id-697323,1,1,3
id-526706,id-526706,1,31,4
id-256403,id-256403,1,7,2
id-885670,id-885670,1,,20
id-491728,id-491728,1,12,1
id-1488901,id-1430690,1,1,10
id-388180,id-388180,1,31,4
id-67480,id-67480,1,31,5
id-1177915,id-1159345,1,12,8
id-751427,id-751427,1,7,1
rec-621951-dup-0,id-621951,1,1,8
id-751421,id-751421,1,7,1
id-786141,id-786141,1,12,12
id-409973,id-409973,1,1,4
id-370150,id-370150,1,1,10
id-114567,id-114567,1,,4
id-971047,id-971047,1,,4
id-260642,id-260642,1,31,4
id-907606,id-907606,1,,4
id-260647,id-260647,1,31,2
id-408000,id-408000,1,31,2
id-981858,id-981858,1,,5
id-1370583,id-1327137,1,,2
id-361238,id-361238,1,1,4
id-818278,id-818278,1,12,2
id-1601215,id-1530293,1,12,1
id-295267,id-295266,2,31,6
id-1248253,id-1220958,1,,12
id-187651,id-187651,1,,13
id-835388,id-835388,1,12,1
id-861111,id-861111,1,,9
id-2110131,id-1971214,1,12,1
id-1235051,id-1209062,1,12,1
id-752415,id-752415,1,12,2
id-567179,id-567179,1,12,2
id-820467,id-820467,1,7,2
id-924373,id-924373,1,,2
id-3654054,id-3352875,1,12,1
id-806238,id-806238,1,8,2
id-2620873,id-2418829,1,12,1
rec-1022261-dup-0,id-1022261,1,,10
rec-183433-dup-0,id-183433,1,,2
id-2493720,id-2305825,1,1,10
id-1103057,id-1094377,1,33,3
id-992420,id-992420,1,,2
id-1056626,id-1054355,1,1,2
id-146199,id-146199,1,,3
id-472802,id-472802,1,1,5
id-833941,id-833941,1,1,3
id-1138881,id-1125496,1,1,10
id-1180647,id-1161767,1,1,6
id-1189410,id-1169372,1,12,7
id-523904,id-523904,1,31,2
id-2552126,id-2356702,1,12,1
id-724224,id-724224,1,1,2
id-349150,id-349150,1,31,3
id-1364637,id-1322015,1,31,7
id-3259573,id-2994794,1,12,1
id-801712,id-801712,1,1,4
id-373713,id-373713,1,1,3
id-854510,id-854510,1,,6
id-1384302,id-1339136,1,31,3
id-3900132,id-3579734,1,12,1
id-3900133,id-3579735,1,12,1
id-3900130,id-3579732,1,12,1
id-1384309,id-1339141,1,1,10
id-455289,id-455289,1,12,5
id-1227552,id-1202347,1,12,2
id-1350944,id-1309993,1,1,2
id-1350494,id-1309562,1,12,1
id-1325067,id-1287389,1,29,3
id-1340624,id-1300939,1,12,6
id-214843,id-214843,1,,11
id-582267,id-582267,1,12,3
id-443015,id-443015,1,31,4
id-1178120,id-1159526,1,1,2
id-663370,id-663370,1,1,25
id-604277,id-604277,1,1,13
id-571433,id-571433,1,12,6
id-393478,id-393478,1,,5
id-677499,id-677499,1,12,7
rec-372808-dup-0,id-372808,1,31,4
id-525613,id-525613,1,1,5
id-602296,id-602296,1,31,3
id-1144664,id-1130494,1,1,11
id-798735,id-798735,1,1,9
rec-756068-dup-0,id-756068,1,1,9
id-1316010,id-1279446,1,31,2
id-656060,id-656060,1,31,2
id-924595,id-924595,1,1,4
id-638710,id-638710,1,31,4
rec-1366386-dup-0,id-1323558,1,1,6
id-497392,id-497392,1,1,3
rec-728094-dup-0,id-728094,1,7,2
id-3651128,id-3350182,1,12,1
id-89994,id-89994,1,33,3
id-461237,id-461237,1,12,3
id-226996,id-226996,1,,6
id-3088553,id-2841244,1,12,1
id-3764215,id-3454574,1,12,1
id-1337823,id-1298461,1,1,5
id-2874346,id-2646896,1,12,1
id-1138267,id-1124938,1,29,2
id-433429,id-433429,1,33,10
id-822856,id-822856,1,12,3
id-2560246,id-2364100,1,,1
rec-324039-dup-0,id-324039,1,12,2
id-2872962,id-2645643,1,12,1
id-461662,id-461662,1,31,4
id-865960,id-865960,1,,4
id-2107046,id-1968543,1,12,1
id-850873,id-850873,1,,4
id-3764210,id-3454570,1,12,1
id-760896,id-760896,1,12,3
id-413459,id-413459,1,31,3
id-272389,id-272389,1,1,11
id-621310,id-621310,1,31,4
rec-247956-dup-0,id-247956,1,1,5
