artist_credit,name,artist_count,ref_count,created
id-103218,Dadomo,1,18,2011-05-16 163211.963929+00
id-866147,Ricky Ruckus  Kenney Kokaine,2,12,2011-10-06 043255.925032+00
id-632961,DJ YOUSUKE,1,4,2011-05-16 163211.963929+00
id-7290,Urban Poets Society,1,24,2011-05-16 163211.963929+00
rec-272492-dup-0,Thought Pyrajid,1,20,2011-05-16 163211.963929+00
rec-554793-dup-0,Brigettr,1,30,2011-05-16 163211.963929+00
id-157699,Lorindo,1,32,2011-05-16 163211.963929+00
id-7812,Taj Formerly of Swu,1,10,2011-05-16 163211.963929+00
id-572842,Leon Brown,1,6,2011-05-16 163211.963929+00
rec-1398064-dup-1,Break These Sbackles,1,18,2014-12-06 050811.317522+00
id-768686,Psychobuildings,1,107,2011-05-16 163211.963929+00
id-331279,Side Street Strutters Jazz Band,1,30,2011-05-16 163211.963929+00
id-118840,Madely,1,22,2011-05-16 163211.963929+00
id-179965,Black Cats  The Kitten,1,67,2011-05-16 163211.963929+00
rec-3225538-dup-0,ちゅううううううう Is Gay A5 Fuck And Reads BL Manga,1,4,2022-02-13 111023.917297+00
rec-999033-dup-0,Chesterfieid,1,8,2012-06-12 043800.6792+00
id-2005040,RFK,1,38,2017-05-22 000040.811678+00
id-35530,Frank Morgan Quartet,1,34,2011-05-16 163211.963929+00
rec-725101-dup-0,Nick Chacona  Anthony Manwfield,1,12,2011-05-16 163211.963929+00
id-141274,Stressman,1,33,2011-05-16 163211.963929+00
id-2286656,Grand Slam,1,54,2018-09-28 130019.661042+00
id-2293288,The Tropicanas,1,44,2018-10-11 142300.141917+00
id-1640701,Shapes  Colors,1,76,2016-04-09 192851.327247+00
id-872408,Louis Vola et son Orchestre du Lido de Toulon,1,12,2011-10-20 060928.037184+00
id-539747,Splatpattern,1,10,2011-05-16 163211.963929+00
id-204170,Koy,1,12,2011-05-16 163211.963929+00
id-192045,Gianna Jessen,1,14,2011-05-16 163211.963929+00
id-1958444,E-Fact,1,26,2017-02-28 195948.242711+00
id-539743,Czarbles,1,16,2011-05-16 163211.963929+00
id-1351037,Global Journey,1,118,2014-08-17 144126.191324+00
id-803123,Except,1,20,2011-05-16 163211.963929+00
rec-486820-dup-0,Potter Pyppet Pals,1,11,2011-05-16 163211.963929+00
id-922968,Michael Schuster,1,12,2012-01-12 152645.006151+00
id-696227,x3d5,1,40,2011-05-16 163211.963929+00
id-457920,Bill Reddie,1,7,2011-05-16 163211.963929+00
id-2007394,Emmit Fenn,1,183,2017-05-26 124151.751893+00
rec-790793-dup-0,DBR UK,1,62,2011-05-16 163211.963929+00
id-1196483,Amarula feat. Italik Dubree,2,6,2013-07-24 230307.940242+00
id-364787,Lourds Lane,1,10,2011-05-16 163211.963929+00
id-342969,3is,1,18,2011-05-16 163211.963929+00
rec-479557-dup-0,Citv Hall,1,54,2011-05-16 163211.963929+00
rec-639536-dup-0,BromZe,1,26,2011-05-16 163211.963929+00
id-292392,Say Colour,1,45,2011-05-16 163211.963929+00
id-132894,Soundscapers,1,22,2011-05-16 163211.963929+00
id-1168852,Paul François  Gerda Muller,2,8,2013-05-22 000027.275405+00
id-406769,Mabusto,1,10,2011-05-16 163211.963929+00
id-2391177,MSD,1,4,2019-03-20 223450.86162+00
id-852725,LoOmis,1,14,2011-08-27 162448.566708+00
id-1137143,Mysore Anthaswamy Jayashree,2,2,2013-03-09 150042.483775+00
id-2538473,5000 Voices,1,40,2019-11-06 152240.137998+00
id-267882,Apollis,1,17,2011-05-16 163211.963929+00
id-3368312,Pastor T.L. Barrett and The Youth for Christ Choir,2,275,2022-08-06 000031.316199+00
id-595780,Hezbollah,1,2,2011-05-16 163211.963929+00
id-463417,Toccata,1,20,2011-05-16 163211.963929+00
id-2771415,Palomino,1,38,2020-08-04 045659.067431+00
id-34303,Fused,1,141,2011-05-16 163211.963929+00
id-613366,Spark of Fire,1,10,2011-05-16 163211.963929+00
id-318843,Jahsoma,1,24,2011-05-16 163211.963929+00
id-161655,Driven,1,36,2011-05-16 163211.963929+00
id-527706,Fee Fi Fo Fum,1,14,2011-05-16 163211.963929+00
id-1169581,DJ Nic-E,1,8,2013-05-23 095603.418127+00
id-1211259,4th N Goal,1,48,2013-08-30 013634.111259+00
id-1398086,Ohavné zvuky,1,16,2014-12-06 061113.040582+00
id-120889,Instant Zen,1,26,2011-05-16 163211.963929+00
id-1139299,The Louis Lester Band,1,40,2013-03-14 081854.358167+00
id-369464,Sell Crazy,1,10,2011-05-16 163211.963929+00
id-839104,Duoz,1,16,2011-07-14 005959.815784+00
id-205778,Blak n Spanish,1,49,2011-05-16 163211.963929+00
id-944302,The Parish of Little Clifton,1,32,2012-02-13 132219.208922+00
id-491517,Bitchee Bitchee Ya Ya Ya,1,18,2011-05-16 163211.963929+00
id-736898,Ukkonen,1,68,2011-05-16 163211.963929+00
id-3220745,DigiDogz,1,4,2022-02-07 060048.503386+00
id-2559832,Idle Hands,1,60,2019-12-02 174028.971052+00
id-67817,Sonic Adventure Project,1,85,2011-05-16 163211.963929+00
id-1168309,Gore Instinct,1,14,2013-05-20 233844.202217+00
rec-2302503-dup-1,JiLL‐Dec0y association,1,231,2018-10-28 110030.551844+00
id-455094,Collectif Mu,1,32,2011-05-16 163211.963929+00
