place,gid,name,place_type,address,area,coordinates,ended
id-30691,44f3f0361500404c8c340cf6c600016c,Audio Mastery,Studio,,id-5213,,f
id-48581,c27cb925e2604ea69f6df3b9522ce008,Musikhochschule Biel,,,,,f
id-12651,3dc2fac3fccc4764b543d0e08e67e801,Bug Jar,Venue,219 Monroe Ave Rochester NY 14607,id-5303,4315004477600096,f
id-56163,88690edbeda54bf78794033ca6a08bf4,Pugsleys Pizza,Venue,590 E 191st St The Bronx NY 10458 United States,id-10863,40858767388481,f
id-52957,031ae3a6f3ef4d709a4fe42c3f095c72,Lunar Cabaret,Venue,,id-5099,,f
id-4786,f7fcf977ee104ac4ae689f5810b6e20c,Terminal 5,Venue,610 West 56th Street New York NY 10019,id-117838,40769657399275,f
id-29918,74ee9f36cd614744a45d3d34b75d8e51,War Memorial Auditorium,Venue,505 Deaderick St Nashville Tennessee 37243,id-5213,3616516486781704,f
id-29474,acd3e1a8be0f40f5a50614956100a36e,Grand Théâtre de Québec,Venue,269 boulevard René‐Lévesque Est,id-7715,,f
id-14153,63d1c45a38b9428abff5c5e0f92a778f,Finsbury Park,Park,Endymion Rd London N4 1EE,id-3887,51571201009,f
id-36503,6a3fa9894f6644399c85f6c64e8e0441,Käsmu kirik,Religious building,,id-99696,5960253825917764,f
id-43573,f173331ebf9c4ced823acc3e7e9776b7,Greenhills Zone,Studio,,id-3967,,f
id-24709,a89cce51b2f6439d961109ff08dc4133,Sound Design Studio,Studio,,id-14225,,f
id-19277,43bb3d7a56bf4c898ceb3937e279c757,Chakra Laboratories Studios,,,,,f
id-40613,43ea184683ac48d49e0452230b417925,Landmark Productions  Recording Studios,Studio,548 NE 42nd Street Fort Lauderdale Florida 33334,id-30978,2617806680139971,f
id-39627,8e08f057ee824475a110849e4de248e9,The Womb,Studio,,id-5114,,f
id-44695,6633cd312327493e93a17d8acd0377c7,KRO Studios,Venue,Hilversum North Holland Netherlands,id-106232,,f
id-6333,063ef4845e4943568dc8a71c6c3dfae4,Theatersaal des Augustinums,,Römerstraße 118 53117 Bonn,id-7023,507482437099987,f
id-51523,77aeef687ae84c16b9ee071737582759,StarVu Studios,Studio,,id-5239,,f
id-38788,0b811145e19544019725d27d34b46a0e,Wood Bee Studios,Studio,,id-10861,,f
id-39388,ca930f47938940af8ddae95aca69f443,Coyote Hearing Studio,Studio,2240 Wood St Oakland CA 94607,id-7288,,f
id-27879,91604bd6d3804e2cbf26f3cf36acc07a,Prague,Venue,422 Congress Ave Ste B Austin TX 78701,id-5196,3026704197743522,t
id-13971,fc79f9ad818e46a1ab9f7854ea90ce21,Concert Hall Sydney Opera House,Venue,,id-5126,3385671512149,f
id-4040,1bc99fa3d0af47aeb0d74a671ec36f38,Fish Ra,Studio,,,,f
id-1633,aa26df574dd3430da340abb40fbd7572,Knitting Factory,Venue,74 Leonard Street New York NY 10013,id-118366,4071733974005346,t
id-5792,76eba7c40be34141ae89b069f3420669,Janowski Studios,Studio,,,,f
id-48084,0e2117722cda43ad930b8188f6d15511,Death Studios,Studio,,id-695,,f
id-5831,b976af4446f149b396372799f7d14f9a,Epicurus Studio,Studio,〒1530064 東京都目黒区下目黒３丁目２４－２２,id-116724,35631506139707729,f
id-46735,112d877bccbf4f09bd18ffcdf3855a6b,Eglise du SaintEsprit,Religious building,,id-47590,4876804242025,f
id-16081,12d3307d58824e77900a2e21098d2769,Shepherd Studios,Studio,,id-331,,f
id-7290,65ac63702f0a4533a2f453717ff68940,Pain in the Art Studios,Studio,,id-5213,,f
id-25156,90687d68c4ce4a8e883c088140042347,Orion Live Club,Venue,Viale J F Kennedy 52 00043 Ciampino RM Italy,id-15668,,f
id-12730,86fe5c6861174f66894f45a1309b8c22,GospelgrooveStudio,Studio,,id-75073,,f
id-22090,23a7e6c7970d498bbb5fb6fc64aa155c,Nar Mattaru,Studio,,,,f
id-50236,bee2092d34544a0b97c8a401d4040b93,Sonic Highways Studio,Studio,,,,f
id-44706,59583e31a5da436d9bfe31eda59ff480,Konk Klub,Venue,HermannMendeStraße 1 D01099 Dresden,id-7291,5108708313764583,f
id-21811,cc822779f94542a1a73fe1779b93fd01,RADION Amsterdam,,,,,f
id-49668,1f9d0baced6a45798ea3ffee5bd631a4,Surrealis Sounds,Studio,,id-326,,f
id-7085,7764a448f94b43a0a8dec09afe85e696,Tipitinas,Venue,501 Napoleon Ave New Orleans LA 70115,id-12021,299173901009,f
id-4290,67f0f81ea6b6411d87710554db484706,Pieve di Palazzo Pignano,Religious building,,id-14324,,f
id-21471,8bc07b2330254e3a8c991fca6feeb85c,Arc Studios,,,id-82,,f
id-20867,df2f2fbd802b4c1c91a53cd97d556ad4,Fantasy Springs Resort Casino,Other,84245 Indio Springs Parkway Indio CA 92203,id-82326,3372220511619518,f
id-33353,364e607d197f4e16b446a6f310ecd5c9,Anekdotens Rehearsal Place,,,,,f
id-10365,8ef573b73c464348b068001f2b357cfe,April Base,Studio,,id-94156,,f
id-54556,6a225e1efa55420392cdfb36ddb0e184,Hub Club,Venue,533 Washington St Boston MA 02111,id-5075,4235406771062226,t
id-24997,a9712b19c5da45db8a1618a26c4654ce,Médiathèque centrale dagglomération PierreMoinot,Other,17 boulevard Main 79000 Niort,id-68546,463259630467206,f
id-37182,47a8c7b0ef704603ad9863b5b9418361,Blind Faith Recording Studio,Studio,Pigneto Rome,id-5060,,f
id-55575,1838140ca84446eb900360febb0e5459,Round the Bend Recording,,Dartmoor,id-3836,,f
id-2483,81ae358763a44ab1b1f6c732aeabc29d,Dipoli,Other,Otakaari 24 FI02150 Espoo Finland,id-9607,6018519824832174,f
id-25303,59c579b2d0c54664bd3a6564350afa3e,Freewood Acres,Other,,id-115443,4016888974238056,f
