artist_credit,name,artist_count,ref_count,created,gid
id-35364,Generation X,1,1042,20110516 16321196392900,ef804046dda33a3e93a31621986bf103
id-137835,Super XX Man,1,355,20110516 16321196392900,f898d77bf42d36ecaa9b077a2651b4bc
id-2228,Mano Negra,1,1387,20110516 16321196392900,d866c3300e01374e8300456b3eebdca3
id-171843,Raggio di Luna Moon Ray,1,93,20110516 16321196392900,31ed83afcd2934548f5a7c25def98cae
id-1041195,Chris Kringel,1,186,20120827 13061228088600,a290148d53813c70b92b1709648930ee
id-119323,Scrunter,1,57,20110516 16321196392900,58af479f2768309d930f68c91de8c9fb
id-937285,The CRS Players,1,648,20120129 22182934110900,a80bdee5ca933ccc946541922b5413e8
id-469343,The Duke,1,38,20110516 16321196392900,c2b308faa1a03341b7efef2edd98599b
id-402671,Nevertheless,1,120,20110516 16321196392900,3a2dd87f0da53468b10e100358c603b6
id-2102,Front Line Assembly,1,3407,20110516 16321196392900,de3135692b9f37c48b3973832f66d747
id-169464,Michelle Wilson,1,18,20110516 16321196392900,3bd73213bdfe32ee8661b0387952daf0
id-215864,Michi Lange,1,64,20110516 16321196392900,78c2e1a625ad354b81dc50083c17fba2
id-678963,Bob Bunker,1,4,20110516 16321196392900,b84567f2508b384a96361e1a0b534b17
id-179905,The New Indians,1,16,20110516 16321196392900,39a5bb29ab893fbd816e9d7e23e76dd4
id-1216187,Lakes,1,174,20130913 07300986842200,cd79a0851e6734c08a0fc8ca67534ea6
id-97546,unknown,1,282767,20110516 16321196392900,4d55731a06943d88802f12927eb1f538
id-627249,Pollyester,1,188,20110516 16321196392900,7c4f706b2f5a32e292bab6139b4146e2
id-30080,Jan Eggum,1,725,20110516 16321196392900,74a42779c62a36ebb463f390dc3f3123
id-2327,Johann Sebastian Bach,1,231913,20110516 16321196392900,2cc90f75b37c3d0aa53dbe3905a5308c
id-1766,John Coltrane,1,10995,20110516 16321196392900,5f4424c9923a3a84bb67f185e6ecca3d
id-216221,Guido Schneider,1,118,20110516 16321196392900,4a570f0d2c73378aa228aaa0a7797fee
id-1168817,Square Root of Margaret,1,94,20130521 22303274373300,0f607d7e79d7398b98a5d9030136b78d
id-129709,The Duke of Iron,1,77,20110516 16321196392900,ceca333f38cb393cab03c0f59a4999a0
id-125734,Vazelina Bilopphøggers,1,595,20110516 16321196392900,972e4f2a6ad53c9aab1391be2cc60022
id-41733,mc chris,1,1134,20110516 16321196392900,029488aac1d1369fb1ac98b85f73ea9c
id-397379,Natural Snow Buildings,1,928,20110516 16321196392900,db4afdae606535b58929a54041ceb2f1
id-902293,Klostertaler,1,678,20111220 1142410641700,41d3107649363f3f846b95f250e38ff9
id-476760,AMP Studio,1,56,20110516 16321196392900,8a0a9fdd70743dfdb0dddab06044c6ab
id-113811,Medina Azahara,1,1230,20110516 16321196392900,e6c9a70b292b3840a0a65b26e0e57c4c
id-981266,Ariëtte,1,20,20120507 23484564676300,2fc097ef6e5c3859b65a60fe33cb6729
id-644827,Aloha From Hawai,1,6,20110516 16321196392900,a49b4b2e35c135ddb9bb2aa96e790cd2
id-358200,Charlotte Roche,1,264,20110516 16321196392900,1a48eb3399393949b277ee090468c4fb
id-130086,Dance House Children,1,141,20110516 16321196392900,3834cd8445d43e959423417e5f8fdc3b
id-24013,Bill Conti,1,3791,20110516 16321196392900,0af2fe8080283d578084dcdee9f6d566
id-249435,Cseh Tamás,1,828,20110516 16321196392900,5ebad356283838239f9f12578c29cb08
id-706322,Jim Oxborrow,1,66,20110516 16321196392900,2f82fe765a5e36ea8b73b8244def9963
id-613603,Chainreactor,1,303,20110516 16321196392900,f2a197316f1033529d19fec25a259fea
id-551009,I Luf,1,477,20110516 16321196392900,1d9e25ad1dfb308f8fb58527f3202324
id-287538,Leeroy Stagger,1,495,20110516 16321196392900,c807c6841b113caa8c5d5004d9751058
id-396950,Group 1 Crew,1,346,20110516 16321196392900,10669f3f18993a4da55091f34d2233bb
id-106905,Klaus Wunderlich,1,3262,20110516 16321196392900,e00bd4a8d58734a389e5a645bd0112f1
id-440614,Michal Tučný,1,862,20110516 16321196392900,71d23243c6ca37df9d837295a04eee58
id-171133,平原綾香,1,1068,20110516 16321196392900,a63568bd987634e8830d0719f95280d9
id-2821466,M Greksa,1,2,20201007 15454128380100,54cbf2c5e8bf34a5aec8c995e54d5b8b
id-268451,Ars Nova,1,14,20110516 16321196392900,4c7aa1021a263aeda66f1d4171cd1b4d
id-1590,Charlie Parker,1,21933,20110516 16321196392900,b884f24b6dd03e7f80939da9472fdc9f
id-1987843,The Homestuck Fan Musicians,1,1469,20170422 05232836269700,ba9a1edcf83b31beaa4fb8ef57d3ad21
id-3992,Quoit,1,94,20110516 16321196392900,735e8d6043d63e01ae2592098c3ddec0
id-21240,Brian Eno,1,3374,20110516 16321196392900,d4dbab2bfe83398a9a43c56dfd75c645
id-9098,Laurent Garnier,1,1801,20110516 16321196392900,bb1c3790ac233b34b0f687257cb5b9cb
id-315749,OSTR,1,1570,20110516 16321196392900,fec620275846305ea3cc15314f3223fb
id-2907,Cirque du Soleil,1,2060,20110516 16321196392900,33fbe7c3ebed359980410bba5b530286
id-441133,Anhedonia,1,71,20110516 16321196392900,9d6a9cee1a5734cc97962a51d70c3123
id-470993,Lento,1,143,20110516 16321196392900,000878eef79d32fba04f8a41f44617d4
id-337068,Тараканы,1,1364,20110516 16321196392900,4c5c2b1bfa3a3f709fd49c2e2e0d350b
id-936042,White Label,1,68,20120127 15424560639700,63c4531ae0d13066a499d47b74e2b691
id-1088214,Dan Kwekel,1,54,20121201 17050294930500,623bc98d259b39d5a5eea38836f90c4e
