artist,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-84597,ccceb435efd5426abcdc024262712525,Ras Kass,Ras Kass,1973,9,26,,,,f,Person,Male,id-222,US West Coast MCproducer John Austin IV
id-114075,73577e864da84d76949d34c757e053be,A Certain Ratio,Certain Ratio A,1977,,,,,,f,Group,,id-221,English postpunk band
id-22910,ecd76a7959a44f298ddd302b14100d1e,William Sheller,Sheller William,1946,7,9,,,,f,Person,Male,id-73,
id-1470979,0aba1766b59a4461b7be89050fef3ec7,황치열,Hwang Chiyeul,1982,12,3,,,,f,Person,Male,id-113,
id-854831,59e8a299590b441495baa7f9357452fa,Van Meeteren  Hyde,Van Meeteren  Hyde,,,,,,,f,,,,
id-187656,bda4ceda6aac4aa2ad6791515f764927,Taste of Sugar,Taste of Sugar,1988,,,1989,,,t,Group,,id-21,Belgian 198889 new beat project
id-143645,ef942b47baed4f588cd0af28cefb3692,Ole Ivars,Ole Ivars,1964,,,,,,f,Group,,id-160,
id-1239018,0deff7de25954a97ae1468f54263c0c1,Marcus Peppiatt,Marcus Peppiatt,1999,2,4,,,,f,Person,Male,id-4000,
id-5549,e3a46f6215f040fbba98e9fbfb4b4178,Manhattan Strings,Manhattan Strings,,,,,,,f,Group,,id-222,
id-474657,876244513f1d474081b1e370e40abf30,Emīls Dārziņš,Dārziņš Emīls,1875,11,3,1910,8,30,t,Person,Male,id-117,
id-715907,2821c30bbd5b4b4ca8ddd77c7bac9628,Randy Wachtler,Wachtler Randy,,,,,,,f,Person,Male,id-222,
id-837884,90ea8266c20d440ebe439cbc5e87fcc4,Billy Kidd,Kidd Billy,,,,,,,f,Person,Male,,production music
id-134467,c87b05a9d0f9450fb9133a1950d760fc,Rennie Pilgrem,Pilgrem Rennie,1965,1,15,,,,f,Person,Male,id-221,
id-30544,75cef459189d4a9abc0decab4880a162,Annikki Tähti,Tähti Annikki,1929,12,5,2017,6,19,t,Person,Female,id-72,
id-280147,a2d6bfd62a274e2f949357c700471871,Strength Approach,Strength Approach,1996,,,,,,f,Group,,id-105,
id-260174,f5602c41f29f4b1d800efb8a16884c31,Attomica,Attomica,1985,,,,,,f,Group,,id-30,Brazilian metal
id-687077,6948cdb4a38d463180cc3ea41b60b8ec,日野美歌,Hino Mika,1962,12,21,,,,f,Person,Female,id-107,
id-690703,7b60334ebc5f46a49c720444d41ba03d,葵司朗,Aoi Shirou,,,,,,,f,Person,,,
id-70348,e7f29e4960784528a5dc5d0eeb8a1437,Robert Pollard,Pollard Robert,1957,10,31,,,,f,Person,Male,id-222,
id-52488,e2050382282f40e58f3301ee4647ad3f,Freddy Fender,Fender Freddy,1937,6,4,2006,10,14,t,Person,Male,id-222,
id-752588,9997c206394a4a66afa3c2b9d58a016e,Toneshifterz,Toneshifterz,,,,,,,f,Person,Male,,Hardstyle DJ Elie Abwi
id-736725,5ab342fc88a44dd9abb949215f14cc42,Noise Controllers,Controllers Noise,,,,,,,f,,,,
id-169274,74b72e1ed197483690d70a3423b4f613,Soundmurderer  SK1,Soundmurderer  SK1,,,,,,,f,Group,,id-222,
id-5883,a8e1ce2e8b104bc3b212fa3f21a1f053,Shawn Phillips,Phillips Shawn,1943,2,3,,,,f,Person,Male,id-222,
id-818847,627c083c750c44fc82f63a26b5e04209,Gabriella Rivas,Gabriella Rivas,,,,,,,f,,,,
id-150337,42d20a71c9a744b482d59c99d275c131,Infradig,Infradig,1998,8,,2007,,,t,Group,,id-222,
id-51564,49b6b4610e974e968e5fb77192ea7762,大野雄二,Ohno Yuji,1941,5,30,,,,f,Person,Male,id-107,anime music composer and jazz pianist
id-32508,3d1957d43f9744a181e96cd77b454c96,Caroline Lavelle,Lavelle Caroline,1969,,,,,,f,Person,Female,id-221,
id-51871,47cf10cc3c1b4d91abb46263ad1cf8d5,Traindodge,Traindodge,1996,,,,,,f,Group,,id-9541,
id-172648,f4958adeefbd484ab114f02e3925b8aa,Detonation,Detonation,1998,,,,,,f,Group,,id-150,dutch death metal band
id-76930,15e026797a5f4dd2850c5aa6e49d0878,Corey Taylor,Taylor Corey,1973,12,8,,,,f,Person,Male,id-222,
id-927552,adc4ddb81c2545d99777bcf2b081bddd,Omnispawn,Omnispawn,2007,,,,,,f,Group,,id-202,
id-507967,4dbabab2a47d435f85dc72a204d9639c,Gạt Tàn Đầy,Gạt Tàn Đầy,,,,,,,f,Group,,,
id-140966,52dddc978cb64b5695a0584191f84ac1,Richard Leo Johnson,Johnson Richard Leo,,,,,,,f,Person,,,
